Years of sample collection,Sex,estimatedAge,Shoulder height (cm),Tusk length (cm),Tusk circumference (cm)
2005-13,f,4.5,160,52.856,14
2005-13,f,4.5,190,59.7908,16
2005-13,f,5.5,190,43.6096,11
2005-13,f,5.5,180,49.3886,12
2005-13,f,5.5,160,54.0118,16
2005-13,f,7.5,200,52.856,14
2005-13,f,7.5,200,60.9466,16
2005-13,f,8.5,220,57.4792,16
2005-13,f,8.5,220,93.309,20
2005-13,f,9,230,57.4792,15
2005-13,f,9,220,59.7908,15
2005-13,f,9,230,60.9466,17
2005-13,f,9.5,240,64.414,15
2005-13,f,12.5,190,59.7908,
2005-13,f,12.5,240,62.1024,17
2005-13,f,12.5,240,72.5046,18
2005-13,f,17.5,240,69.0372,17
2005-13,f,17.5,250,72.5046,15
2005-13,f,17.5,230,73.6604,17
2005-13,f,17.5,230,93.309,20
2005-13,f,17.5,240,95.6206,19
2005-13,f,22.5,220,62.1024,17
2005-13,f,22.5,220,66.7256,20
2005-13,f,22.5,260,66.7256,19
2005-13,f,22.5,230,73.6604,18
2005-13,f,22.5,250,77.1278,18
2005-13,f,22.5,250,78.2836,20
2005-13,f,22.5,240,80.5952,19
2005-13,f,22.5,230,81.751,25
2005-13,f,22.5,250,81.751,17
2005-13,f,22.5,250,89.8416,25
2005-13,f,22.5,230,92.1532,20
2005-13,f,22.5,260,93.309,21
2005-13,f,22.5,260,99.088,24
2005-13,f,22.5,270,101.3996,22
2005-13,f,27.5,210,70.193,17
2005-13,f,27.5,240,84.0626,21
2005-13,f,27.5,230,89.8416,21
2005-13,f,27.5,240,93.309,20
2005-13,f,27.5,250,93.309,19
2005-13,f,27.5,260,104.867,22
2005-13,f,32.5,230,64.414,22
2005-13,f,32.5,250,80.5952,22
2005-13,f,32.5,220,85.2184,20
2005-13,f,32.5,270,94.4648,22
2005-13,f,32.5,260,110.646,22
2005-13,f,32.5,260,111.8018,25
2005-13,f,35,230,118.7366,25
2005-13,f,37.5,230,66.7256,20
2005-13,f,37.5,260,79.4394,20
2005-13,f,37.5,260,81.751,20
2005-13,f,37.5,250,99.088,24
